CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Unidade da Federação
Período:Dez/2020
"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"311800 Congonhas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;42
"311820 Conquista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;11
"311830 Conselheiro Lafaiete";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182;-;-;-;-;-;-;-;-;-;-;182
"311840 Conselheiro Pena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;41
"311860 Contagem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328;-;-;-;-;-;-;-;-;-;-;328
"311880 Coração de Jesus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;33
"311930 Coromandel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;31
"311940 Coronel Fabriciano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;38
"312020 Cristais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;19
"312050 Cristina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;31
"312080 Cruzília";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;61
"312090 Curvelo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;129
"312100 Datas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;21
"312120 Delfinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;14
"312160 Diamantina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;185
"312200 Divino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;42
"312210 Divino das Laranjeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;21
"312230 Divinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;219;-;-;-;-;-;-;-;-;-;-;219
"312260 Dom Joaquim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;19
"312270 Dom Silvério";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"312320 Dores do Indaiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;40
"312360 Elói Mendes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;36
"312390 Entre Rios de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;46
"312400 Ervália";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;20
"312410 Esmeraldas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;37
"312420 Espera Feliz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;42
"312430 Espinosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;40
"312450 Estiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;20
"312470 Estrela do Indaiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;21
"312480 Estrela do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;4
"312490 Eugenópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;29
"312510 Extrema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;44
"312560 Felisburgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;42
"312590 Ferros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;23
"312595 Fervedouro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;19
"312610 Formiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;59
"312620 Formoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10
"312650 Francisco Badaró";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;11
"312670 Francisco Sá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;50
"312690 Frei Inocêncio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;16
"312710 Frutal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;45
"312760 Gouveia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;26
"312770 Governador Valadares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;416;-;-;-;-;-;-;-;-;-;-;416
"312780 Grão Mogol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;48
"312800 Guanhães";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;73
"312810 Guapé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;24
"312820 Guaraciaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;23
"312830 Guaranésia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;27
"312860 Guarda-Mor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;16
"312870 Guaxupé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;55
"312910 Gurinhatã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10
"312940 Ibertioga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;48
"312950 Ibiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;36
"312970 Ibiraci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;12
"312980 Ibirité";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;113
"313030 Iguatama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;16
"313050 Ilicínea";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;28
"313090 Inhapim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;47
"313120 Ipanema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;47
"313130 Ipatinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360;-;-;-;-;-;-;-;-;-;-;360
"313150 Ipuiúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;15
"313170 Itabira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;177;-;-;-;-;-;-;-;-;-;-;177
"313180 Itabirinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;17
"313190 Itabirito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;44
"313210 Itacarambi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;41
"313220 Itaguara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;44
"313230 Itaipé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;28
"313240 Itajubá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;112
"313250 Itamarandiba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;69
"313270 Itambacuri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;81
"313290 Itamogi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;12
"313300 Itamonte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;47
"313310 Itanhandu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;60
"313320 Itanhomi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"313330 Itaobim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;58
"313350 Itapecerica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;46
"313375 Itaú de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;34
"313380 Itaúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;75
"313420 Ituiutaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;146
"313440 Iturama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;63
"313460 Jaboticatubas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;31
"313470 Jacinto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;38
"313480 Jacuí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10
"313490 Jacutinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;26
"313505 Jaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;25
"313510 Janaúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;126
"313520 Januária";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;66
"313540 Jeceaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"313580 Jequitinhonha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;56
"313600 Joaíma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;33
"313620 João Monlevade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;85
"313630 João Pinheiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;48
"313650 Jordânia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;27
"313665 Juatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;14
"313670 Juiz de Fora";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1400;-;-;-;-;-;-;-;-;-;-;1400
"313690 Juruaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;11
"313700 Ladainha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;21
"313710 Lagamar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;9
"313720 Lagoa da Prata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;46
"313750 Lagoa Formosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;19
"313760 Lagoa Santa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"313770 Lajinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;40
"313780 Lambari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;46
"313790 Lamim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;8
"313800 Laranjal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;20
"313820 Lavras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;184
"313840 Leopoldina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;97
"313860 Lima Duarte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;29
"313880 Luz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;44
"313890 Machacalis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;44
"313900 Machado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;42
"313920 Malacacheta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"313930 Manga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;34
"313940 Manhuaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136;-;-;-;-;-;-;-;-;-;-;136
"313950 Manhumirim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;81
"313960 Mantena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;74
"313980 Mar de Espanha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;30
"313990 Maria da Fé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;16
"314000 Mariana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;56
"314050 Martinho Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"314070 Mateus Leme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;49
"314090 Matipó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;39
"314100 Mato Verde";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;4
"314110 Matozinhos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;51
"314120 Matutina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10
"314140 Medina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;53
"314150 Mendes Pimentel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"314160 Mercês";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;13
"314180 Minas Novas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;42
"314190 Minduri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;13
"314200 Mirabela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;30
"314220 Miraí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;36
"314240 Moema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;12
"314260 Monsenhor Paulo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;44
"314270 Montalvânia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;30
"314280 Monte Alegre de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"314290 Monte Azul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;39
"314300 Monte Belo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;13
"314310 Monte Carmelo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;122
"314320 Monte Santo de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;28
"314330 Montes Claros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;667;-;-;-;-;-;-;-;-;-;-;667
"314350 Morada Nova de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;19
"314370 Morro do Pilar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"314390 Muriaé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;-;-;-;-;363
"314400 Mutum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;46
"314410 Muzambinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;27
"314430 Nanuque";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;50
"314450 Nazareno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;15
"314460 Nepomuceno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;28
"314470 Nova Era";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;43
"314480 Nova Lima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;82
"314500 Nova Ponte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;23
"314510 Nova Resende";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"314520 Nova Serrana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"314530 Novo Cruzeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;39
"314560 Oliveira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;91
"314590 Ouro Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;47
"314600 Ouro Fino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;36
"314610 Ouro Preto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;115
"314630 Padre Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;40
"314650 Pains";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"314670 Palma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;22
"314710 Pará de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;69
"314700 Paracatu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;67
"314720 Paraguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;33
"314730 Paraisópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;31
"314760 Passa Quatro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;49
"314770 Passa Tempo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;26
"314750 Passabém";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;15
"314790 Passos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;-;194
"314800 Patos de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;205;-;-;-;-;-;-;-;-;-;-;205
"314810 Patrocínio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;84
"314860 Peçanha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;34
"314870 Pedra Azul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;56
"314910 Pedralva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;9
"314920 Pedrinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;14
"314930 Pedro Leopoldo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;47
"314980 Perdizes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;26
"314990 Perdões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;36
"315030 Piedade do Rio Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;14
"315050 Pimenta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;12
"315080 Piranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;25
"315110 Pirapetinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"315120 Pirapora";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;92
"315140 Pitangui";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;37
"315150 Piumhi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;54
"315160 Planura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;6
"315170 Poço Fundo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;37
"315180 Poços de Caldas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;236;-;-;-;-;-;-;-;-;-;-;236
"315190 Pocrane";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"315200 Pompéu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;25
"315210 Ponte Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209;-;-;-;-;-;-;-;-;-;-;209
"315220 Porteirinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;39
"315240 Poté";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;32
"315250 Pouso Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;210
"315260 Pouso Alto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;26
"315270 Prados";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;28
"315280 Prata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;30
"315290 Pratápolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;14
"315300 Pratinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"315310 Presidente Bernardes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"315340 Presidente Olegário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;18
"315400 Raul Soares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;34
"315410 Recreio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;34
"315420 Resende Costa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;39
"315430 Resplendor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;56
